Year,Category,Status,Movie,MovieId,AssociatedPeople,AssociatedIds,Person,PersonId
1989,BestLeadActress(MejorActrizPrincipal),Winner,Mujeres al borde de un ataque de 'nervios',tt0095675,,,Carmen Maura,nm0560962
1989,BestLeadActress(MejorActrizPrincipal),Nominee,Miss Caribe,tt0095644,,,Ana Belén,nm0006702
1989,BestLeadActress(MejorActrizPrincipal),Nominee,Luces y sombras,tt0095555,,,Ángela Molina,nm0596807
1989,BestLeadActress(MejorActrizPrincipal),Nominee,Caminos de tiza,tt0097009,,,María Fernanda D'Ocón,nm0195801
1989,BestLeadActress(MejorActrizPrincipal),Nominee,Baton Rouge,tt0094822,,,Victoria Abril,nm0000721
1989,BestMakeupandHairstyles(MejorMaquillajeyPeluquería),Winner,Remando al viento,tt0093840,"['Romana González', 'Josefa Morales']","['nm0328466', 'nm0602650']",,
1989,BestMakeupandHairstyles(MejorMaquillajeyPeluquería),Nominee,El Dorado,tt0095053,"['José Antonio Sánchez', 'Paquita Núñez']","['nm0844997', 'nm0639274']",,
1989,BestMakeupandHairstyles(MejorMaquillajeyPeluquería),Nominee,Espérame en el cielo,tt0092982,"['Ángel Luis De Diego', 'Alicia Regueiro']","['nm0208254', 'nm0716746']",,
1989,BestMakeupandHairstyles(MejorMaquillajeyPeluquería),Nominee,Mujeres al borde de un ataque de 'nervios',tt0095675,"['Gregorio Ros', 'Jesús Moncusi']","['nm0740747', 'nm0597683']",,
1989,BestMakeupandHairstyles(MejorMaquillajeyPeluquería),Nominee,El Lute II: mañana seré libre,tt0095559,"['Juan Pedro Hernández', 'Agustín Cabiedes']","['nm0380026', 'nm0127632']",,
1989,BestOriginalScore(MejorMúsicaOriginal),Winner,Pasodoble,tt0095830,['Carmelo A. Bernaola'],['nm0005962'],,
1989,BestOriginalScore(MejorMúsicaOriginal),Nominee,Berlín Blues,tt0094729,['Lalo Schifrin'],['nm0006277'],,
1989,BestOriginalScore(MejorMúsicaOriginal),Nominee,El Dorado,tt0095053,['Alejandro Massó'],['nm0557579'],,
1989,BestOriginalScore(MejorMúsicaOriginal),Nominee,Remando al viento,tt0093840,['Alejandro Massó'],['nm0557579'],,
