Year,Category,Status,Person,PersonId,Movie,MovieId,AssociatedPeople,AssociatedIds
1931,"BestWriting,OriginalStory",Nominee,,,El enemigo público,tt0022286,"['John Bright', 'Kubec Glasmon']","['nm0109148', 'nm0321891']"
1931,"BestWriting,OriginalStory",Nominee,,,Dinero fácil,tt0022403,"['Lucien Hubbard', 'Joseph Jackson']","['nm0399203', 'nm0413711']"
1932,BestActorinaLeadingRole,Winner,Wallace Beery,nm0000891,El campeón,tt0021730,,
1932,BestActorinaLeadingRole,Nominee,Fredric March,nm0545298,El hombre y el monstruo,tt0022835,,
1932,BestActorinaLeadingRole,Nominee,Alfred Lunt,nm0526795,Sólo ella lo sabe,tt0021931,,
1932,BestActressinaLeadingRole,Winner,Helen Hayes,nm0371040,El pecado de Madelon Claudet,tt0022386,,
1932,BestActressinaLeadingRole,Nominee,Marie Dressler,nm0237597,Emma,tt0022854,,
1932,BestActressinaLeadingRole,Nominee,Lynn Fontanne,nm0285007,Sólo ella lo sabe,tt0021931,,
1932,BestArtDirection,Winner,,,Camarotes de lujo,tt0022500,['Gordon Wiles'],['nm0928781']
1932,BestArtDirection,Nominee,,,Viva la libertad,tt0022599,['Lazare Meerson'],['nm0576226']
1932,BestArtDirection,Nominee,,,El doctor Arrowsmith,tt0021622,['Richard Day'],['nm0206554']
1932,BestCinematography,Winner,,,El expreso de Shanghai,tt0023458,['Lee Garmes'],['nm0005716']
1932,BestCinematography,Nominee,,,El doctor Arrowsmith,tt0021622,['Ray June'],['nm0432482']
1932,BestCinematography,Nominee,,,El hombre y el monstruo,tt0022835,['Karl Struss'],['nm0835365']
1932,BestDirector,Winner,Frank Borzage,nm0097648,Bad Girl,tt0021635,,
1932,BestDirector,Nominee,King Vidor,nm0896542,El campeón,tt0021730,,
1932,BestDirector,Nominee,Josef von Sternberg,nm0903049,El expreso de Shanghai,tt0023458,,
1932,BestPicture,Winner,,,Gran Hotel,tt0022958,[],[]
1932,BestPicture,Nominee,,,El doctor Arrowsmith,tt0021622,[],[]
1932,BestPicture,Nominee,,,Bad Girl,tt0021635,[],[]
1932,BestPicture,Nominee,,,El campeón,tt0021730,[],[]
1932,BestPicture,Nominee,,,Sed de escándalo,tt0021873,[],[]
1932,BestPicture,Nominee,,,Una hora contigo,tt0023303,[],[]
1932,BestPicture,Nominee,,,El expreso de Shanghai,tt0023458,[],[]
1932,BestPicture,Nominee,,,El teniente seductor,tt0022074,[],[]
1932,"BestShortSubject,Cartoons",Winner,,,Árboles y flores,tt0022899,['Walt Disney'],['nm0000370']
1932,"BestShortSubject,Cartoons",Nominee,,,It's Got Me Again!,tt0023067,['Leon Schlesinger'],['nm0772266']
1932,"BestShortSubject,Cartoons",Nominee,,,Los huérfanos de Mickey,tt0022147,['Walt Disney'],['nm0000370']
1932,"BestShortSubject,Comedy",Winner,,,Haciendo de las suyas,tt0023251,['Hal Roach'],['nm0730018']
1932,"BestShortSubject,Comedy",Nominee,,,The Loud Mouth,tt0023152,['Mack Sennett'],['nm0784407']
1932,"BestShortSubject,Comedy",Nominee,,,Stout Hearts and Willing Hands,tt0023517,[],[]
1932,"BestShortSubject,Comedy",Nominee,,,Scratch-As-Catch-Can,tt0276472,[],[]
1932,"BestShortSubject,Novelty",Winner,,,Wrestling Swordfish,tt0023711,['Mack Sennett'],['nm0784407']
1932,"BestShortSubject,Novelty",Nominee,,,Screen Souvenirs,tt0023441,[],[]
1932,"BestShortSubject,Novelty",Nominee,,,Swing High,tt0152771,[],[]
1932,"BestSound,Recording",Winner,Paramount Publix Corporation,,Metro-Goldwyn-Mayer (MGM),,,
1932,"BestSound,Recording",Nominee,Metro-Goldwyn-Mayer (MGM),,RKO Radio Pictures,,,
1932,"BestSound,Recording",Nominee,RKO Radio Pictures,,Warner Bros.-First National Pictures,,,
1932,"BestSound,Recording",Nominee,Warner Bros.-First National Pictures,,Edwin J. Burke,,,
1932,"BestWriting,Adaptation",Winner,,,Bad Girl,tt0021635,['Edwin J. Burke'],['nm0121667']
1932,"BestWriting,Adaptation",Nominee,,,El doctor Arrowsmith,tt0021622,['Sidney Howard'],['nm0397608']
1932,"BestWriting,Adaptation",Nominee,,,El hombre y el monstruo,tt0022835,"['Percy Heath', 'Samuel Hoffenstein']","['nm0372698', 'nm0388755']"
1932,"BestWriting,OriginalStory",Winner,,,El campeón,tt0021730,['Frances Marion'],['nm0547966']
1932,"BestWriting,OriginalStory",Nominee,,,El retador,tt0023109,"['Grover Jones', 'William Slavens McNutt']","['nm0428177', 'nm0574112']"
1932,"BestWriting,OriginalStory",Nominee,,,El testigo,tt0022430,['Lucien Hubbard'],['nm0399203']
1932,"BestWriting,OriginalStory",Nominee,,,Hollywood al desnudo,tt0023686,"['Adela Rogers St. Johns', 'Jane Murfin']","['nm0820700', 'nm0613848']"
1932,Honorary,Winner,Walt Disney,nm0000370,,,,
1934,BestActorinaLeadingRole,Winner,Charles Laughton,nm0001452,La vida privada de Enrique VIII,tt0024473,,
1934,BestActorinaLeadingRole,Nominee,Leslie Howard,nm0001366,La plaza de Berkeley,tt0023794,,
1934,BestActorinaLeadingRole,Nominee,Paul Muni,nm0612847,Soy un fugitivo,tt0023042,,
1934,BestActressinaLeadingRole,Winner,Katharine Hepburn,nm0000031,Gloria de un día,tt0024353,,
1934,BestActressinaLeadingRole,Nominee,May Robson,nm0733480,Dama por un día,tt0024240,,
1934,BestActressinaLeadingRole,Nominee,Diana Wynyard,nm0944087,Cabalgata,tt0023876,,
1934,BestArtDirection,Winner,,,Cabalgata,tt0023876,['William S. Darling'],['nm0201419']
1934,BestArtDirection,Nominee,,,Adiós a las armas,tt0022879,"['Hans Dreier', 'Roland Anderson']","['nm0237417', 'nm0027380']"
1934,BestArtDirection,Nominee,,,De mujer a mujer,tt0024763,['Cedric Gibbons'],['nm0316539']
1934,BestAssistantDirector,Winner,Charles Barton,nm0059106,Scott R. Beal,,,
1934,BestAssistantDirector,Nominee,Scott R. Beal,nm0063634,Charles Dorian,,,
1934,BestAssistantDirector,Nominee,Charles Dorian,nm0233648,Fred Fox,,,
1934,BestAssistantDirector,Nominee,Fred Fox,nm0288995,Gordon Hollingshead,,,
1934,BestAssistantDirector,Nominee,Gordon Hollingshead,nm0391121,Dewey Starkey,,,
1934,BestAssistantDirector,Nominee,Dewey Starkey,nm0823315,William Tummel,,,
1934,BestAssistantDirector,Nominee,William Tummel,nm0876537,Al Alleborn,,,
